hypothesis_id,behaviour_name,data_availability_status,reasoning
H-FB-001,popular-favourite overpricing,TESTABLE_WITH_PROXY,"Football-Data has no direct 'popularity' field. A defensible proxy (e.g. Premier League + televised-fixture flag, or bookmaker_count as a liquidity/attention proxy) would need to be defined and documented before backtesting -- testable, but not as originally defined."
H-FB-002,bookmaker disagreement predicts later movement,TESTABLE_AS_DEFINED,"Opening and closing per-bookmaker odds are both confirmed available (see FOOTBALL_DATA_FEASIBILITY.md) -- IQR/dispersion at opening vs. direction of opening-to-closing movement is directly computable from the acquired schema."
H-FB-003,exchange prices above margin-free consensus near kickoff,DATA_REQUIRED,"Confirmed NOT testable from this source: Football-Data provides one opening line and one closing line per bookmaker, not an intraday time series, and no exchange (Smarkets/Betfair) price history at all. Remains DATA_REQUIRED pending forward data collection -- unchanged from the original registry entry."
H-FB-004,travel/rest home-advantage misestimation,TESTABLE_AS_DEFINED,"Match dates are present and complete in every row inspected so far; rest-day gaps between a team's fixtures are directly computable once multi-season chronological data is loaded. Travel distance would need an external lookup (team stadium coordinates), which is a small, documented addition, not a new data source."
H-FB-005,lower-liquidity dispersion vs execution quality,TESTABLE_WITH_PROXY,"Bookmaker dispersion (IQR) is directly computable. 'Execution quality' cannot be measured directly (no exchange order-book history in this source) -- would need to use bookmaker_count and dispersion as a proxy for likely execution difficulty, not a direct execution-quality measurement."
H-FB-006,large late market moves carry information,DATA_REQUIRED,"Same limitation as H-FB-003 -- requires intraday/near-kickoff price time series, which this end-of-day CSV source does not provide. Remains DATA_REQUIRED."
H-TN-001,surface-Elo disagreement with bookmaker consensus,DATA_REQUIRED,"Out of scope for Stage 3A (football data only). No change -- still requires a surface-Elo model (Stage 4, tennis)."
H-TN-002,underdog surface-rating underpricing,DATA_REQUIRED,"Out of scope for Stage 3A. No change."
H-TN-003,long-layoff return mispricing,DATA_REQUIRED,"Out of scope for Stage 3A. No change."
H-TN-004,schedule congestion vs favourite performance,DATA_REQUIRED,"Out of scope for Stage 3A. No change."
H-TN-005,bookmaker dispersion as uncertainty signal,DATA_REQUIRED,"Out of scope for Stage 3A. No change."
