sport,market,seasons_or_years,competitions,rows_or_events,bookmakers_or_venues,odds_snapshots,timestamp_quality,results_available,features_available,historical_depth,leakage_considerations,exact_replay_capable,proxy_replay_capable,status
football,1X2,2020_21-2025_26,E0/E1/SC0,5776 eligible matches,up to 6,opening+closing,single snapshot per bookmaker,yes,Elo/Poisson/rolling stats,strong,handled -- Backtest Phase 1 leakage audit passed,no,yes,EXHAUSTED (Gate 1 + Backtest Phase 1 both complete; market consensus confirmed best)
football,Over/Under 2.5,2020_21-2025_26,E0/E1/SC0,5800 matches; only 2-3 bookmakers/match,2-3 (below min_bookmakers=3 floor),opening+closing (thin),single snapshot,yes,match stats available,WEAK (bookmaker depth insufficient),n/a -- consensus not buildable,no,no (consensus unbuildable),BLOCKED BY DATA
football,Asian Handicap,2020_21-2025_26,E0/E1/SC0,5800 matches; same depth shortfall as OU2.5,2-3,opening+closing (thin),single snapshot,yes,match stats available,WEAK,n/a,no,no,BLOCKED BY DATA
football,BTTS,none,none,0,0,none,none,yes (derivable from full-time score),match stats available,derivable from existing goals data but no historical BTTS-specific odds panel exists,n/a,no,no,UNEXPLORED (no odds data; outcome itself is trivially derivable from existing results)
football,team totals,none,none,0,0,none,none,yes (derivable),match stats available,same as BTTS,n/a,no,no,UNEXPLORED (no odds data)
tennis,match winner (edge-hunting),2021-2025,ATP (TML Database),14564 canonical matches; 12956 linked to Betfair,Betfair Exchange (single venue),Betfair BASIC last-traded-price ticks,intraday ticks (finer than football),yes,Elo/surface-Elo built, 13 hypothesis families tested,strong,handled -- Workstream B closed cleanly,partial (LTP only, no order-book depth),yes,EXHAUSTED FOR EDGE-HUNTING (Workstream B CLOSED -- NULL RESULT, 13/13 families rejected)
tennis,match winner (money-qualification backtest using consensus-as-probability),2021-2026,ATP (TML Database) + Betfair BASIC tennis archive,~2 million raw stream files across data.tar (2021-2026) + live BASIC/2026 folder (~28500 event folders Jan-Sep alone); 12956 already linked,Betfair Exchange (single venue),Betfair BASIC last-traded-price ticks,intraday ticks,yes,not required (no new predictive claim),strong -- data and linkage pipeline both already exist,not yet audited for this specific use (new methodology needed for EV construction on a single-venue exchange),partial (LTP only),yes,UNEXPLORED (this specific research question -- a Phase-1-style money-qualification backtest -- was never attempted; only the edge-hunting question was)
tennis,match winner (live production),n/a,n/a,0,0,none,none,n/a,n/a,n/a,n/a,n/a,n/a,BLOCKED (not wired into decisions/recommendation.py or run_daily_scan.py at all)
basketball,moneyline,none,none,0,0,none,none,n/a,n/a,none,n/a,no,no,UNEXPLORED (never started)
cricket,match winner,none,none,0,0,none,none,n/a,n/a,none,n/a,no,no,BLOCKED (paused by master directive §14, not a data limitation)
